"","Number","GP","PA","AB","H","H_1B","H_2B","H_3B","HR","RBI","R","HBP","ROE","FC","CI","BB","SO","AVG","OBP","SLG","OPS","PA_BB","BB_K","C_Prct","K_L","SB","CS","SB_Prct","PIK","GIDP","GITP","XBH","TB_B","AB_HR","BA_RISP","PS","PS_PA","X_2splus3","X_2splus3.1","X_6plus","X_6plusprct","FLBprct","GBprct","SAC","SF","LOB","X_2OUTRBI","HHB","QAB","QABprct","BABIP","IP","GP_P","GS","W","L","SV","SVO","BS","SVprct","H_P","R_P","ER","BB_P","SO_P","HBP_P","ERA","WHIP","BF","No_P","TS","TB","P_IP","P_BF","less_3","less_3prct","LOO","X_1ST2OUT","X_123INN","less13","FIP","S_prct","FPS","FPSprct","FPSOprct","FPSWprct","FPSHprct","BB_INN","X_0BBINN","BBS","LOBB","LOBBS","WP","ABA","SM","SMprct","K_G","K_BF","K_BB","WEAKprct","HHBprct","GBprct_P","FLBprct_P","GO","FO","GO_FO","BAA","HR_P","BABIP_P","LOB_P","BK","PIK_P","SB_P","CS_P","SBprct_P","TC","A","PO","E","DP","TP","FPCT","cINN","cPB","cSB","cCS","cCSprct","cPIK","cCI"
"1",1,29,93,71,20,12,7,1,0,22,6,5,2,2,0,15,14,0.282,0.435,0.408,0.843,6.2,1.071,0.803,2,1,0,1,1,0,0,8,29,0,0.244,347,3.731,8,0.086,16,0.172,"26.67%","45.00%",1,1,39,14,18,44,"47.31%",0.345,27,6,5,4,0,0,0,0,0,23,6,6,5,33,3,1.556,1.037,111,426,285,141,15.778,3.838,47,0.423,19,16,14,13,1.336,0.669,73,0.658,0.726,0.014,0.233,0.185,23,0,1,0,1,103,64,0.15,8.556,0.297,6.6,0.829,0.171,0.582,0.418,22,16,1.375,0.223,0,0.329,20,0,0,4,1,0.8,141,6,129,6,1,0,0.957,134.1,2,20,5,0.2,3,0
"2",3,29,96,73,29,27,2,0,0,24,28,0,5,2,2,15,2,0.397,0.494,0.425,0.919,6.4,7.5,0.973,0,24,5,0.828,1,0,0,2,31,0,0.474,341,3.552,10,0.104,12,0.125,"19.48%","50.65%",5,1,31,9,16,46,"47.92%",0.403,1,1,0,0,0,0,0,0,0,2,2,1,1,2,3,7,3,9,29,15,14,29,3.222,3,0.333,1,0,0,0,9.5,0.517,4,0.444,0.5,0.25,0,1,0,1,0,0,1,5,4,0.138,14,0.222,2,0.667,0.333,0.333,0.667,0,1,0,0.4,0,0.667,2,0,0,1,0,1,81,25,51,5,3,0,0.938,0,0,0,0,0,0,0
"3",4,29,84,77,30,25,5,0,0,17,21,1,6,2,0,6,6,0.39,0.44,0.455,0.895,14,1,0.922,1,18,2,0.9,1,0,0,5,35,0,0.471,245,2.917,5,0.06,5,0.06,"25.35%","49.30%",0,0,31,7,19,31,"36.90%",0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,29,3,1,0,0.909,0,0,0,0,0,0,0
"4",9,29,98,74,22,16,4,2,0,11,29,2,4,3,0,21,11,0.297,0.464,0.405,0.869,4.667,1.909,0.851,5,15,1,0.938,1,0,0,6,30,0,0.269,366,3.735,15,0.153,18,0.184,"29.69%","46.88%",1,0,35,6,15,54,"55.10%",0.349,15.2,4,3,1,1,0,0,0,0,13,11,9,12,11,0,4.021,1.596,73,294,164,130,18.766,4.027,30,0.411,9,5,4,4,3.714,0.558,40,0.548,0.625,0.125,0.25,0.766,8,5,4,2,3,60,17,0.058,4.915,0.151,0.917,0.882,0.118,0.42,0.58,15,19,0.789,0.217,0,0.26,14,0,1,12,0,1,51,4,44,3,0,0,0.941,0,0,0,0,0,0,0
"5",17,21,39,22,4,3,1,0,0,3,8,3,0,2,0,13,6,0.182,0.513,0.227,0.74,3,2.167,0.727,2,6,0,1,1,0,0,1,5,0,0.222,161,4.128,7,0.179,9,0.231,"47.06%","41.18%",0,1,15,1,3,20,"51.28%",0.235,12,5,3,1,0,0,0,0,0,7,8,5,11,2,2,2.917,1.5,54,180,93,87,15,3.333,31,0.574,9,7,4,6,5.72,0.517,28,0.519,0.643,0.143,0.179,0.917,4,5,2,2,2,39,9,0.05,1.167,0.037,0.182,0.846,0.154,0.389,0.611,11,19,0.579,0.179,0,0.184,10,0,0,6,1,0.857,71,9,56,6,0,0,0.915,41.2,5,11,1,0.083,0,0
"6",21,29,77,56,17,16,1,0,0,12,16,1,3,1,0,18,17,0.304,0.48,0.321,0.801,4.278,1.059,0.696,4,4,3,0.571,0,0,0,1,18,0,0.345,303,3.935,9,0.117,16,0.208,"21.95%","31.71%",2,0,31,1,16,47,"61.04%",0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,30,2,2,0,0.939,0,0,0,0,0,0,0
"7",22,27,35,25,2,2,0,0,0,1,17,2,4,0,0,6,11,0.08,0.303,0.08,0.383,5.833,0.545,0.56,5,3,1,0.75,0,0,0,0,2,0,0.077,136,3.886,5,0.143,5,0.143,"18.75%","43.75%",2,0,20,0,4,17,"48.57%",0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,1,0,0,0.938,4,3,2,0,0,0,0
"8",23,27,76,63,20,13,4,3,0,18,13,4,3,3,0,8,12,0.317,0.421,0.476,0.897,9.5,0.667,0.81,2,0,1,0,1,0,0,7,30,0,0.438,268,3.526,11,0.145,13,0.171,"30.19%","49.06%",0,1,32,4,14,35,"46.05%",0.385,5.2,3,1,0,1,0,0,0,0,5,4,4,10,4,1,4.941,2.647,32,124,58,66,21.882,3.875,10,0.312,2,2,0,0,6.832,0.468,14,0.438,0.357,0.286,0.286,1.765,1,2,4,0,0,21,8,0.065,4.941,0.125,0.4,0.824,0.176,0.75,0.25,6,2,3,0.238,0,0.294,8,0,0,1,0,1,44,10,29,5,2,0,0.886,0,0,0,0,0,0,0
"9",24,27,68,53,9,7,1,1,0,7,11,6,3,2,0,6,7,0.17,0.318,0.226,0.545,11.333,0.857,0.868,4,2,1,0.667,0,2,0,2,12,0,0.167,217,3.191,10,0.147,11,0.162,"32.65%","42.86%",2,1,35,2,11,29,"42.65%",0.191,5.2,4,0,1,0,0,0,0,0,4,1,1,1,5,0,1.235,0.882,24,80,51,29,14.118,3.333,14,0.583,2,2,2,3,1.755,0.637,14,0.583,0.857,0,0.143,0.176,5,0,0,0,0,22,9,0.113,6.176,0.208,5,0.778,0.222,0.357,0.643,4,5,0.8,0.182,0,0.222,5,0,0,1,0,1,15,2,13,0,0,0,1,0,0,0,0,0,0,0
"10",27,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",27,25,68,55,15,8,7,0,0,11,11,1,2,1,0,10,6,0.273,0.388,0.4,0.788,6.8,1.667,0.891,3,2,0,1,0,2,0,7,22,0,0.179,233,3.426,6,0.088,9,0.132,"35.29%","37.25%",1,1,37,0,13,33,"48.53%",0.3,42.2,8,7,7,0,0,0,0,0,21,7,4,5,72,1,0.656,0.609,159,585,417,168,13.711,3.679,79,0.497,32,25,24,22,-0.088,0.713,103,0.648,0.835,0.01,0.136,0.117,37,1,0,0,2,153,113,0.193,11.812,0.453,14.4,0.829,0.171,0.539,0.461,27,22,1.227,0.137,0,0.259,25,3,0,1,0,1,31,4,23,4,2,0,0.871,0,0,0,0,0,0,0
"12",29,25,62,54,13,13,0,0,0,8,10,0,5,0,0,8,6,0.241,0.339,0.241,0.579,7.75,1.333,0.889,2,12,0,1,0,0,0,0,13,0,0.207,214,3.452,5,0.081,9,0.145,"22.92%","45.83%",0,0,37,3,10,22,"35.48%",0.271,39,7,6,6,1,0,0,0,0,36,10,7,7,33,1,1.256,1.103,159,546,382,164,14,3.434,88,0.553,34,23,12,18,1.909,0.7,106,0.667,0.717,0.019,0.226,0.179,32,1,0,0,0,151,74,0.136,5.923,0.208,4.714,0.773,0.227,0.521,0.479,30,35,0.857,0.238,0,0.305,32,0,4,3,2,0.6,71,21,43,7,5,0,0.901,0,0,0,0,0,0,0
"13",32,29,91,71,18,17,1,0,0,18,17,8,6,2,0,10,10,0.254,0.404,0.268,0.672,9.1,1,0.859,4,9,2,0.818,1,2,0,1,19,0,0.238,302,3.319,8,0.088,10,0.11,"22.22%","49.21%",2,0,54,6,14,34,"37.36%",0.295,31.1,10,4,3,3,1,1,0,1,34,21,13,7,12,6,2.904,1.309,144,391,268,123,12.479,2.715,100,0.694,14,8,5,19,3.473,0.685,94,0.653,0.745,0,0.223,0.223,25,1,0,0,1,131,23,0.059,2.681,0.083,1.714,0.773,0.227,0.538,0.462,37,32,1.156,0.26,0,0.286,32,0,0,4,2,0.667,95,10,78,7,2,0,0.926,0,0,0,0,0,0,0
